,input,response,perplexity,grade
0,['Was ist dein Lieblingshobby?'],nsermütter ’ s? gliedern das bekennt ebenso schlecht wie harm-spren alle hier amtriecht schöne _hart,68.14634871959687,B1-C2
1,['Erzähle mir einen Witz.'],rle mag wohler nicht gut verdienstlich um halbverstehst du michaelornried wird siegfriedens sindhart,70.22453703051806,B2-C2
2,['Wie ist das Wetter heute?'],irathet heiden wirthsitzt und baut für aerrizität. jauchtwindianergeschichten treibt murmelt –gemein,45.701797449588774,B2-C2
3,['Empfehle mir ein gutes Buch.'],en ; das ist eselefugia krebsaffetuchshausknechtest noch mehr wie heutezigen thuze fünfzehn marSache,48.73754284596443,A1-C2
4,['Kannst du mir bei einer Matheaufgabe helfen?'],ehme gesichter unglücke mit dem klaflanklettchen ; das ist eine holzwergöttlicher an der übermüthart,59.125735320806506,A2-C2
5,['Was ist die Hauptstadt von Deutschland?'],len sich jeglichen politischen verlangen wir beide wohl 113 gausenfeldgesch getragen. zu einemfühlen,55.731656031250964,C1-C2
6,['Teile eine interessante Tatsache mit mir.'], von unserem himmelblauen # à lao thalunieuxiramismbuch smona gnaden bis zum aus allen laßt denSache,46.515846743822095,B1-C2
7,['Wie koche ich ein leckeres Gericht?'], ihm räudder graf entwerfen ; so macht jede beambusences enthüllogyzt sie das herz für unberührSache,63.22030868101119,A1-C2
8,['Was sind die neuesten Nachrichten?'], dem grunzufriedenes morgens beim essen kann keine rußigen knirft in ihrem berauschende rübendenhart,80.99245993115566,A2-C2
9,['Erkläre mir das Konzept der Zeitreise.'], eine geborene kanaille auch wohlfühlt zur des gelben wie theater als objödes thut die kleine donna.,61.58907225954533,A1-C2
10,['Wie kann ich mein Gedächtnis verbessern?'],; tomilioser thor bring kriegen wohlthäubet gros zuckerhannes lirabengelchen : ~jeder nach richSache,64.11099843144417,C2
11,['Glaubst du an Außerirdische?'],ber die größte choc gegossen. de consprichte mir unerträglicher verwunderndödes zucker durch gebhart,67.94517176318169,B2-C2
