CEFR,Text
B1,"Wie es Monika in Dresden geht? Ganz genau weiß ich das nicht. Ich habe sie seit dem Umzug nicht mehr gesehen. Natürlich habe ich ihr schon ein paar Mails geschrieben. Aber bisher hat sie noch nicht geantwortet. Ich nehme an, dass sie noch viel mit dem Umzug und der Arbeitssuche zu tun hat. Und wahrscheinlich entdeckt sie viel Interessantes in der Stadt. Sie fängt ein neues Leben an, und sicherlich ist das alles sehr spannend für sie. Bestimmt geht sie oft aus, um neue Leute kennenzulernen. Ich könnte mir vorstellen, dass sie jetzt in den ersten Wochen schon ein paar neue Freunde gefunden hat. Ich weiß nicht genau, wie sie das macht, aber irgendwie hat sie immer viele lustige, interessante, nette Leute um sich. Allerdings sind alte Freunde, die man schon lange kennt, auch sehr wichtig. Ich vermute mal, dass es ihr gut geht, sie mich aber bestimmt auch vermisst."
B1,"Ich habe schon als Kind davon geträumt, später auf einer Bühne zu stehen. Als kleines Kind dachte ich, ich gehe später zum Zirkus. Als ich größer wurde, habe ich mich dann fürs Theater interessiert. Auf jeden Fall wollte ich Schauspieler oder Artist werden. Mein Pech war nur: Ich hatte immer schon Angst davor, vor einem großen Publikum zu stehen. Es war ganz verrückt: Einerseits habe ich Komödien, Tragödien und alle anderen Theaterstücke geliebt, andererseits hatte ich nicht genug Mut, vor vielen Leuten aufzutreten. Ich dachte immer, wenn ich etwas falsch mache, lachen die Leute vielleicht über mich. Beruflich habe ich mich dann doch für etwas ganz Normales entschieden. Heute arbeite ich bei einer Versicherung. Aber ich habe immer darauf gehofft, irgendwann doch noch einmal etwas mit Theater oder Zirkus zu machen. Vor einiger Zeit habe ich angefangen, ganz kleine Kartentricks für meine Kinder zu lernen. "
B1,"Das hat mir immer mehr Spaß gemacht, und ich habe dieses Hobby weiterentwickelt. Heute trete ich vor Kindern und Erwachsenen auf. Vorher bin ich immer sehr aufgeregt. Aber sobald ich auf der Bühne stehe, ist die Aufregung weg. Dann bin ich ganz ruhig und konzentriere mich nur auf den Moment. Das ist ein schönes Gefühl. Es war richtig, meinen Kindheitstraum nicht aufzugeben. Meine Freundin Monika ist nach Dresden gezogen. Wir waren jahrelang befreundet, und jetzt ist sie einfach weg. Ich vermisse sie. Mit ihr war es nie langweilig. Ich erinnere mich an so viele lustige Geschichten mit ihr. Ohne sie ist es hier einsam und ziemlich traurig. Ach, sie fehlt mir so."
B1,"Wirklich, zwei Monate lang habe ich mir Gedanken gemacht. Sogar die Einladungen habe ich schon fertig. Und dann schreibt mir meine Schwiegermutter einfach ein paar Zeilen, dass sie keine Zeit hat. Sie hat nicht mal persönlich angerufen und sich entschuldigt. Das gibt es doch nicht! Das darf doch wohl nicht wahr sein! Sie hat eine Reise gebucht, obwohl sie wusste, dass an dem Termin unsere Feier stattfinden sollte. Ihre Freundin hat sie gefragt, ob sie mit nach Mallorca fliegt, und sie hat einfach ja gesagt. Wie kann denn das sein? Was denkt sie sich nur dabei? Jetzt ist meine ganze Planung umsonst. Ich muss einen neuen Termin ausmachen, einen neuen Raum finden, alles neu organisieren. Am liebsten würde ich die Party ohne sie planen. Einfach eine Reise zu buchen! Darüber könnte ich mich ohne Ende aufregen! "
B2,"„Alltag aktuell“ heute mit Markus Wolf am Mikrophon. Herzlich willkommen zu unserer Sendung am Nachmittag. Ich begrüße alle Zuhörerinnen und Zuhörer, die uns heute wieder vor ihren Radiogeräten begleiten. 
Wer heute in der Stadt unterwegs ist, kann dem Dauer-Ärger mit dem Stau entgegenwirken, wenn er bloß gewillt ist, auf die alternativen Fortbewegungsmittel umzusteigen. Zwar wird das Straßenbild nach wie vor von den Autos dominiert, doch zeigt sich zunehmend, dass viele Verkehrsteilnehmer bereits auf das Auto verzichten. In „Alltag aktuell“ geht es heute um klimafreundliche Mobilität ohne Auto beziehungsweise ohne eigenes Auto. 
Können wir – liebe Zuhörer und Zuhörerinnen – in der nächsten Zukunft tatsächlich auf das Auto verzichten? Diese und weitere Fragen werde ich gleich dem Gast in der heutigen Sendung, Herrn Professor Dr.-Ing. Udo Jörgenson von der Universität Hamburg, stellen. Herzlich willkommen im Studio, Herr Jörgenson."
B2,"Seit dem Dieselskandal 2015 ist jedoch sehr viel passiert und auch die Autoindustrie scheint endlich zu wissen, was die Stunde geschlagen hat. Die Straßen werden mehr und mehr von „sauberen“ Autos beherrscht. Das können entweder welche mit modernem Verbrennungs- oder Hybridmotor oder solche mit Elektromotor sein. Wird sich unsere Lebensqualität dadurch nachhaltig verbessern lassen? 
Das ist sicherlich eine positive Entwicklung in die richtige Richtung, denn je schneller die emissionsfreien PKWs – gleich ob Elektro- oder Wasserstoffautos oder mit der Zeit vielleicht auch mit neuen alternativen Antrieben – unsere Straßen füllen, desto höher sind die Chancen, dass sich die Luftqualität rasch und vor allem auch dauerhaft verbessert. Aber auch mit solchen Autos werden die Städte nicht autofrei. 
Was müssen wir also in der Zukunft ändern, damit wir autofreie Städte erleben? Oder ist das eine utopische Idee?
"
B2,"Dass wir ganze Städte ohne Autos erleben werden, ist wohl eine Utopie, auch wenn einige autofreie Nordseeinseln es bereits vormachen. Dort sind Autos einfach nicht erlaubt, die Bewohner ebenso wie die Touristen fahren mit dem Fahrrad oder Tretroller. Die einzigen Ausnahmen sind die Fahrzeuge der Ärzte oder Rettungsdienste. In den Stadtmetropolen geht es aber vielmehr darum, dass die Innenstädte von dem starken Automobilverkehr entlastet werden. Und in diesem Zusammenhang bin ich davon überzeugt, dass die Automobilität, wie wir sie heute noch kennen, bei der das Auto die absolute Vorfahrt auf den Straßen hat, da sicherlich nicht das richtige Konzept ist. 
Sind also Fahrverbote die Lösung, die wir brauchen? 
Im gewissen Sinne ja, zumindest, was den Innenstadtbereich anbetrifft. Die Kernbereiche vieler Innenstädte leiden nicht nur unter dem Abgasproblem, sondern auch unter einem enormen Raummangel, da die Straßen permanent vollgeparkt sind.
"
B2,"So ganz simpel ist das natürlich auch nicht, denn wir müssen bei der Entwicklung der neuen Konzepte selbstverständlich auch die Bedürfnisse der Bürger im Auge behalten. Das bedeutet unter anderem mehr und breitere Rad- und Gehwege. Vor allem heißt das aber, dann in vielen Städten der öffentliche Nahverkehr stark ausgebaut werden muss. Es müssten neue Strecken für Busse, Straßenbahnen usw. angelegt werden. Gleichzeitig muss auch die Taktfrequenz in den vorhandenen und neuen Streckennetzen erhöht werden. Denn nur wenn der Öffentliche Nahverkehr eine geeignete Alternative zum Auto bietet, werden die Einwohner auf ihr eigenes Auto verzichten. 
Und wenn sie dann doch in einigen Situationen ein Auto brauchen? 
Dann können Sie jederzeit auf das Carsharing zurückgreifen, das in vielen Städten bereits seit mehreren Jahren zur Verfügung steht und sich immer größerer Beliebtheit erfreut.
Herr Professor Jörgenson, eine letzte Frage: Wann wird die Mobilitätswende wirklich auf uns zukommen? 
"
B2,"Als Content-Managerin bin ich dafür zuständig, dass die richtigen Inhalte zum richtigen Zeitpunkt an der richtigen Stelle auf der Webseite unseres Unternehmens, in den sozialen Netzwerken und verschiedenen Internetportalen erscheinen. Was viele Menschen heute also gerne in ihrer Freizeit machen, ist für mich mein Beruf. 
Für meinen Beruf brauche ich eine starke Online-Affinität und ein großes Interesse an Computern, denn die meiste Zeit sitze ich eben doch am Rechner. Besonders wichtig ist ein sicherer Umgang mit der fachspezifischen Software, dem so genannten CMS, das heißt dem Content-Management-System. Mit diesem System kann ich alle Inhalte bearbeiten und pflegen. 
Außerdem bin ich dafür verantwortlich, die Zusammenarbeit mit den externen Textautoren, Grafikern oder Fotografen zu koordinieren. Für diesen Teil meiner Arbeit sind Organisationstalent sowie Kommunikations- und Teamfähigkeit zwingende Voraussetzungen. Doch meine Arbeit erfordert nicht nur technisches Wissen und organisatorisches Geschick. Vielmehr muss ich oft auch kreativ tätig sein.
"
B2,"Als ich vor etwa 10 – oder nein, ich glaube, es sind jetzt schon elf – Jahren nach Deutschland kam, war ich gerade Mitte 20 und konnte anfangs weder gut Deutsch, noch hatte ich eine Vorstellung davon, was ich beruflich machen könnte. In meinem Heimatland hatte ich zwar schon in verschiedenen Berufen gejobbt, aber eine richtige Ausbildung habe ich nie genossen. In Deutschland wurde mir schnell klar, dass ich dies nachholen muss, wenn ich einen Beruf ergreifen will. Der erste entscheidende Schritt war aber, Deutsch zu lernen. Nachdem ich in Deutschland die B2-Prüfung bestanden hatte, wollte ich mich um einen Ausbildungsplatz zum Altenpfleger bewerben. Voraussetzung war aber ein der Mittleren Reife vergleichbarer Schulabschluss. Also besuchte ich zunächst eine Abendrealschule und konnte dann nach zwei Jahren endlich mit der Ausbildung beginnen."
